filename, HDPE, LDPE, PET, PP, PS
09df7f2f7d8dc5acd2bcaf08d321dca9_jpg.rf.c4dd453ab9964a4c92440b5aaefef24e.jpg, 0, 1, 0, 0, 0
18_jpg.rf.c47fc93f866e4aec97db0d1f47400ea4.jpg, 1, 0, 0, 0, 0
IMG_1960_JPG_jpg.rf.c4d62e92b904107bb2099193cce76496.jpg, 1, 0, 0, 0, 0
plastic470_jpg.rf.c4e5e28b71cc30dcf6fdb33475ebdfcd.jpg, 0, 0, 1, 0, 0
IMG_1803_JPG_jpg.rf.c4f187e341f07575cecaf4d2f85d9586.jpg, 1, 0, 0, 0, 0
151_jpg.rf.c4028a82cac5f4614a7f2cdcd5556b12.jpg, 0, 0, 0, 1, 0
plastic319_jpg.rf.c4f7806ecf07677a6c4c8e780b7989df.jpg, 0, 0, 1, 0, 0
fec8e2c740271b3ba86e34cf474dfe84_jpg.rf.c465d225ac42dd89bc2c9c57a89699c9.jpg, 1, 0, 0, 0, 0
IMG_20231109_141054_jpg.rf.c42da017bd99bc007930d8653140d142.jpg, 0, 0, 0, 1, 0
1236_jpg.rf.c40f681a0912259904278c152bc25dba.jpg, 0, 0, 0, 1, 0
02_03_2020_14_46_52_jpeg_jpg.rf.c4481533898f56f16f6c6daa589a60d4.jpg, 0, 0, 1, 0, 0
1160_jpg.rf.c42f6f9807faacee294847bba4e109ff.jpg, 0, 0, 0, 1, 0
WhatsApp-Image-2022-01-24-at-3-31-44-PM_jpeg_jpg.rf.c4fb34d8ec207ada2c48af4e00523f22.jpg, 0, 0, 0, 1, 0
20220205_151730_jpg.rf.c46cf3e963a3a5f2120196b120dd606d.jpg, 0, 1, 0, 0, 0
KakaoTalk_20230423_132117753_16_jpg.rf.c4136092842a54c3ab0e6b8aa179f814.jpg, 0, 0, 1, 0, 0
20220216_215746_jpg.rf.c48741fb4e342d7be4995c21655ba9f6.jpg, 0, 0, 0, 1, 0
images-7-_jpg.rf.c48a226264e7d26b129ffac6f7ac91a0.jpg, 1, 0, 0, 0, 0
jerrican-essence-gasoil-jerriclean_jpg.rf.c4057450d767daef80b45839b3a16580.jpg, 1, 0, 0, 0, 0
